# WHAM PMF: HIV-1 PR ritonavir unbinding
# T=300K, k=3.0 kcal/mol/A^2, 50 windows, 0.5A spacing
# Column 1: COM distance (A)
# Column 2: PMF (kcal/mol)
5.100  4.6970
5.300  3.4360
5.500  2.0762
5.700  1.2439
5.900  0.6425
6.100  0.3150
6.300  0.1953
6.500  0.2059
6.700  0.1757
6.900  0.2678
7.100  0.3275
7.300  0.3161
7.500  0.3954
7.700  0.6762
7.900  0.9384
8.100  1.1162
8.300  1.3572
8.500  1.3421
8.700  0.9343
8.900  0.6309
9.100  0.6521
9.300  0.7428
9.500  0.5045
9.700  0.1682
9.900  0.0000
10.100  0.0100
10.300  0.1904
10.500  0.3875
10.700  0.4794
10.900  0.4856
11.100  0.3960
11.300  0.3908
11.500  0.6230
11.700  0.9381
11.900  0.7442
12.100  0.4824
12.300  0.3723
12.500  0.2482
12.700  0.2584
12.900  0.4053
13.100  0.4675
13.300  0.4699
13.500  0.4326
13.700  0.5273
13.900  0.6528
14.100  0.7826
14.300  0.7307
14.500  0.6328
14.700  0.5956
14.900  0.5633
15.100  0.5210
15.300  0.5086
15.500  0.4705
15.700  0.5130
15.900  0.5523
16.100  0.5291
16.300  0.5129
16.500  0.4896
16.700  0.4272
16.900  0.3612
17.100  0.3539
17.300  0.5100
17.500  0.5701
17.700  0.5397
17.900  0.4297
18.100  0.3986
18.300  0.4673
18.500  0.5636
18.700  0.4464
18.900  0.2905
19.100  0.2647
19.300  0.4349
19.500  0.5489
19.700  0.6739
19.900  0.8068
20.100  0.8243
20.300  0.6147
20.500  0.4413
20.700  0.4477
20.900  0.6383
21.100  0.7884
21.300  0.7247
21.500  0.5908
21.700  0.4375
21.900  0.4157
22.100  0.4862
22.300  0.5210
22.500  0.4744
22.700  0.3890
22.900  0.3891
23.100  0.5142
23.300  0.5969
23.500  0.6105
23.700  0.5866
23.900  0.6708
24.100  0.8177
24.300  0.7616
24.500  0.5144
24.700  0.3394
24.900  0.3292
25.100  0.3879
25.300  0.5373
25.500  0.6476
25.700  0.6317
25.900  0.5365
26.100  0.4859
26.300  0.5250
26.500  0.5710
26.700  0.6168
26.900  0.6492
27.100  0.6459
27.300  0.6528
27.500  0.6036
27.700  0.6325
27.900  0.6135
28.100  0.6186
28.300  0.6145
28.500  0.5727
28.700  0.5264
28.900  0.4831
29.100  0.4455
29.300  0.4657
29.500  0.4825
29.700  0.5095
29.900  0.5343
30.100  0.5318
30.300  0.7017
30.500  0.8524
30.700  1.2131
30.900  1.5905
31.100  2.7648
31.300  2.0378
