#Frame             Rg      Rg[Max]
     245       6.8802      11.5150
     246       6.9130      11.9834
     247       7.0158      12.3753
     248       6.9841      11.6505
     249       6.9944      12.1403
     250       7.0739      11.7107
     251       6.9647      11.5361
     252       7.0969      12.4187
     253       7.0447      11.7673
     254       6.8919      11.2916
     255       6.9655      11.6575
     256       6.8700      11.6908
     257       6.9043      11.3022
     258       6.8149      11.0722
     259       6.9745      11.2967
     260       7.0611      11.7169
     261       7.0326      11.7199
     262       6.9696      11.5282
     263       6.9461      11.2082
     264       6.7850      11.1912
     265       6.8511      11.6901
     266       6.8514      11.1621
     267       7.0399      11.6742
     268       6.9400      11.8523
     269       6.9080      11.8483
     270       6.9771      12.4750
     271       6.8202      11.2678
     272       6.8173      11.3890
     273       6.7671      11.8069
     274       6.8250      11.5645
     275       6.8632      11.4441
     276       6.9808      11.5493
     277       6.8566      11.4755
     278       6.9084      12.0663
     279       7.0220      11.9379
     280       6.8940      11.1328
     281       6.9609      11.9489
     282       6.9398      11.7548
     283       7.0613      12.1068
     284       6.9737      11.8648
     285       6.8670      11.4437
     286       7.0755      12.0683
     287       6.9144      11.8586
     288       7.0738      12.1988
     289       7.0846      12.1186
     290       6.9352      11.8726
     291       7.0671      11.9479
     292       6.9714      11.5526
     293       7.0314      12.1592
     294       6.8433      12.0521
     295       6.8997      11.5804
     296       6.8538      11.7360
     297       6.8382      11.2479
     298       6.9867      11.6643
     299       6.8005      11.5351
     300       6.7458      10.8339
     301       6.8640      11.3082
     302       6.7910      11.1843
     303       6.8156      11.6452
     304       6.9145      11.7095
     305       6.8517      11.6326
     306       6.9262      11.7240
     307       6.8509      12.1276
     308       6.9688      12.2793
     309       6.8050      12.0577
     310       6.9024      11.6459
     311       6.9158      11.7637
     312       6.8641      11.6778
     313       6.9829      12.8314
     314       6.8211      11.7175
     315       7.0544      12.4518
     316       7.0249      13.1338
     317       7.0148      12.2475
     318       7.0374      11.7427
     319       6.8896      12.1494
     320       6.9825      11.8529
     321       6.9019      11.8339
     322       7.0150      12.6877
     323       6.9484      12.6154
     324       6.8837      11.8443
     325       6.9207      11.7799
     326       6.8815      11.8498
     327       7.0269      11.6613
     328       6.8777      11.9829
     329       6.9939      11.8860
     330       7.1565      12.4312
     331       6.8618      11.8000
     332       6.9922      11.9268
     333       6.8899      11.7809
     334       7.0115      11.9572
     335       6.8812      11.4276
     336       7.0010      11.7542
     337       6.9659      12.2273
     338       6.9958      11.8085
     339       6.8071      11.4350
     340       6.8209      11.0142
     341       6.8289      11.1096
     342       6.9511      11.3809
     343       6.9358      11.7042
     344       7.0578      12.0307
     345       6.9203      11.6316
     346       6.8399      11.4471
     347       6.8223      11.1650
     348       6.9731      11.7101
     349       6.8981      11.2258
     350       6.7684      10.9192
     351       6.8620      11.0461
     352       6.9527      11.5475
     353       6.8810      11.0752
     354       6.9168      11.4714
     355       6.8855      11.2612
     356       6.9182      11.5137
     357       6.8619      11.0526
     358       6.8500      11.5045
     359       6.9507      11.5300
     360       6.9826      11.4564
     361       6.9230      11.8283
     362       6.7393      11.4336
     363       6.8740      11.3387
     364       6.8302      11.9323
     365       6.9059      11.6352
     366       6.9591      11.5502
     367       7.0915      12.2861
     368       6.8832      11.8389
     369       6.8260      11.5068
     370       6.9129      11.5632
     371       6.9323      11.7341
     372       6.9621      11.5191
     373       6.8985      11.4225
     374       6.9388      11.4041
     375       6.8365      11.8584
     376       6.9581      12.1738
     377       6.9269      12.0774
     378       6.9200      12.2945
     379       6.9845      12.2434
     380       6.9374      12.1210
     381       6.8831      11.9892
     382       6.9182      11.9399
     383       6.9487      11.8748
     384       7.0112      12.0602
     385       6.9631      12.2664
     386       7.0079      12.2388
     387       6.9785      11.9682
     388       6.9186      12.0879
     389       6.9250      12.1031
     390       7.0591      12.0472
     391       6.9660      11.7354
     392       6.8528      12.0815
     393       7.0826      12.2744
     394       6.8712      11.7394
     395       7.0381      12.0983
     396       6.9850      11.5643
     397       6.9053      12.3100
     398       6.8691      12.2990
     399       6.8886      12.6482
     400       6.9323      12.1609
     401       6.8610      11.4151
     402       6.8987      11.7731
     403       6.9561      11.6145
     404       6.8352      11.3797
     405       6.9447      11.4020
     406       6.8607      11.6178
     407       6.8190      11.5659
     408       6.9266      11.8947
     409       6.8648      11.4823
     410       7.0134      11.6719
     411       6.9195      11.3215
     412       6.7802      11.2912
     413       6.9538      11.6512
     414       6.8746      11.2486
     415       6.8967      11.7481
     416       6.9684      11.7527
     417       6.8532      11.3337
     418       6.8244      11.5334
     419       6.8790      11.8101
     420       6.9391      12.0059
     421       6.9147      11.5024
     422       6.9063      11.7394
     423       6.9030      11.7681
     424       6.8078      11.0865
     425       6.9546      11.3694
     426       6.9022      11.2123
     427       6.9331      11.5790
     428       6.9018      11.4722
     429       6.9279      11.7019
     430       6.8905      12.0340
     431       6.9637      11.9843
     432       6.9688      11.9717
     433       6.9470      11.8537
     434       6.8804      11.5653
     435       6.9449      11.9127
     436       6.9778      11.8477
     437       6.9251      11.7563
     438       6.9072      11.6109
     439       6.9168      11.5263
     440       7.0258      12.2976
     441       6.9451      11.5978
     442       6.9410      11.7397
     443       6.8580      11.3374
     444       6.8887      11.2944
     445       6.8977      11.2551
     446       7.0180      11.9341
     447       6.8910      11.7997
     448       6.9518      11.3403
     449       6.9653      12.3694
     450       6.9289      12.7479
     451       6.8792      11.2448
     452       6.8796      11.2397
     453       6.8227      11.5830
     454       6.8911      11.2963
     455       6.8253      11.5333
     456       6.9522      11.7197
     457       6.9433      12.0984
     458       6.9390      11.8431
     459       6.9150      11.9162
     460       6.9253      11.6517
     461       6.7807      11.5981
     462       6.8893      11.5276
     463       6.8650      11.7881
     464       6.8658      11.5053
     465       6.8495      11.3311
     466       6.9533      11.8042
     467       6.9279      11.9040
     468       6.8595      11.9125
     469       6.9332      11.7119
     470       7.0393      11.8920
     471       6.8953      11.8086
     472       6.8399      11.8160
     473       6.9109      11.0673
     474       6.8886      11.6446
     475       6.9035      12.1224
     476       6.8262      11.3780
     477       6.9249      11.8576
     478       6.9456      11.7768
     479       6.9741      12.0340
     480       6.9474      11.6839
     481       6.9611      11.7781
     482       6.9103      12.0529
     483       7.0338      12.2820
     484       6.9518      12.0818
     485       6.8621      12.0689
     486       7.0098      12.6194
     487       6.9465      11.3045
     488       7.0182      12.2434
     489       7.0004      12.5062
     490       6.9311      11.7878
     491       6.9653      11.9825
     492       7.0846      13.5911
     493       6.9071      12.2699
     494       7.0067      11.5013
     495       6.8646      11.3740
     496       6.8478      11.2221
     497       6.9457      11.6237
     498       6.7708      10.9883
     499       6.8597      11.7420
     500       6.9306      11.4171
     501       6.8282      11.3513
     502       6.8041      11.5498
     503       6.7818      11.2428
     504       6.8505      11.3007
     505       6.8377      11.4740
     506       6.8255      11.3991
     507       6.8480      11.3358
     508       6.9305      11.7209
     509       6.7998      11.6706
     510       6.9137      11.5905
     511       6.8903      11.5284
     512       6.8762      11.0241
     513       6.9344      11.7955
     514       6.9300      11.3812
     515       6.9864      11.5462
     516       6.9983      11.9700
     517       7.0125      12.2349
     518       6.9480      11.8942
     519       6.9061      11.4567
     520       6.9371      11.2941
     521       6.8586      11.2522
     522       6.8505      11.1951
     523       7.0177      11.9090
     524       6.8897      11.4260
     525       6.8103      11.5090
     526       6.8546      11.6072
     527       6.8867      11.4341
     528       6.8646      11.4791
     529       6.9274      11.3559
     530       6.9408      11.7607
     531       6.9409      11.2270
     532       6.8730      11.2268
     533       6.9634      12.1657
     534       7.0041      12.4736
     535       7.0060      12.5435
     536       6.8802      11.3420
     537       7.0626      12.1467
     538       7.1663      12.0407
     539       6.9865      11.6792
     540       6.9888      12.1339
     541       6.9236      11.9156
     542       6.9840      12.1996
     543       6.9412      12.2669
     544       6.8817      11.3705
     545       6.9733      12.3502
     546       6.9199      11.6138
     547       6.9295      12.0038
     548       6.8948      11.3600
     549       6.9250      11.2262
     550       6.7294      12.1853
     551       6.8966      11.9845
     552       6.9429      12.1585
     553       6.7487      12.1941
     554       6.8964      12.6209
     555       6.9378      12.1985
     556       7.0294      12.1331
     557       7.0206      12.2794
     558       6.9495      11.9037
     559       6.8148      11.2428
     560       6.9925      12.7535
     561       6.9506      12.2088
     562       6.9182      12.0806
     563       6.9829      12.3674
     564       7.0199      11.9469
     565       6.9486      12.5271
     566       6.8281      11.9778
     567       6.9682      12.0207
     568       6.9749      11.9788
     569       7.0496      12.3311
     570       6.9621      11.9290
     571       6.9348      11.9842
     572       6.9808      11.7320
     573       6.9740      11.9947
     574       6.8630      11.4652
     575       6.9170      11.1147
     576       6.9224      11.5484
     577       6.9510      11.4710
     578       6.8738      11.1061
     579       6.9495      11.4156
     580       6.8778      11.6521
     581       6.8920      11.2364
     582       6.8924      11.6903
     583       6.9183      11.9642
     584       6.8907      11.5574
     585       6.9226      11.7213
     586       6.8601      11.6759
     587       6.9252      11.7523
     588       6.9535      12.1289
     589       6.9623      11.5759
     590       6.8806      11.5087
     591       6.8727      11.8283
     592       6.9294      11.6828
     593       6.9535      11.4831
     594       6.9517      12.0499
     595       6.8610      11.7246
     596       6.8572      11.7508
     597       6.9337      11.5349
     598       6.9074      11.6318
     599       7.0177      12.0551
     600       6.9175      11.8231
     601       6.9775      11.7399
     602       6.8531      11.5126
     603       6.9195      12.0022
     604       6.9528      11.5780
     605       6.9404      11.6886
     606       6.9045      11.6804
     607       6.7715      11.3709
     608       6.8785      11.8819
     609       6.9209      11.8846
     610       6.8876      11.5284
     611       6.8779      11.8023
     612       6.8799      11.3884
     613       6.8780      11.4890
     614       6.9511      11.6044
     615       6.9875      11.8685
     616       6.9617      11.7216
     617       6.8108      11.3795
     618       6.9886      12.0930
     619       7.0224      11.7558
     620       7.0306      11.7619
     621       6.9401      11.6403
     622       6.9720      11.8900
     623       6.9398      11.4508
     624       6.9451      11.5399
     625       7.0298      11.7993
     626       7.0082      12.2916
     627       6.9322      11.8727
