#Frame      Q[native] Q[nonnative]
       1          669         2834
       2          699         2803
       3          691         2851
       4          693         2800
       5          683         2797
       6          686         2811
       7          677         2782
       8          687         2802
       9          693         2811
      10          685         2833
      11          672         2858
      12          682         2868
      13          674         2800
      14          702         2848
      15          687         2866
      16          675         2838
      17          688         2863
      18          693         2881
      19          661         2618
      20          684         2854
      21          692         2847
      22          674         2737
      23          681         2856
      24          664         2754
      25          680         2755
      26          646         2822
      27          657         2764
      28          666         2867
      29          652         2864
      30          656         2825
      31          671         2955
      32          673         2896
      33          686         2862
      34          671         2823
      35          661         2804
      36          662         2797
      37          669         2870
      38          679         2806
      39          690         2865
      40          689         2904
      41          677         2777
      42          677         2732
      43          658         2801
      44          666         2844
      45          692         2903
      46          670         2808
      47          671         2911
      48          679         2918
      49          678         2707
      50          692         2885
      51          668         2831
      52          672         2846
      53          655         2727
      54          663         2879
      55          662         2794
      56          666         2803
      57          666         2849
      58          671         2918
      59          654         2791
      60          664         2848
      61          646         2798
      62          656         2755
      63          664         2800
      64          673         2848
      65          689         2919
      66          671         2870
      67          699         2847
      68          665         2834
      69          649         2779
      70          676         2659
      71          678         2693
      72          673         2644
      73          692         2799
      74          672         2712
      75          655         2733
      76          680         2720
      77          671         2657
      78          672         2686
      79          669         2718
      80          659         2663
      81          663         2681
      82          686         2721
      83          688         2711
      84          678         2735
      85          664         2616
      86          681         2718
      87          661         2686
      88          626         2708
      89          664         2746
      90          680         2738
      91          646         2729
      92          648         2642
      93          664         2608
      94          643         2529
      95          663         2569
      96          689         2525
      97          691         2724
      98          695         2609
      99          692         2736
     100          699         2725
     101          675         2726
     102          694         2851
     103          693         2656
     104          724         2779
     105          698         2733
     106          697         2582
     107          679         2527
     108          689         2685
     109          685         2537
     110          697         2645
     111          706         2594
     112          694         2617
     113          692         2692
     114          689         2646
     115          698         2806
     116          696         2760
     117          679         2727
     118          678         2721
     119          696         2769
     120          694         2836
     121          708         2730
     122          673         2631
     123          702         2837
     124          691         2797
     125          693         2708
     126          691         2751
     127          698         2695
     128          693         2734
     129          692         2831
     130          692         2838
     131          710         2938
     132          703         2986
     133          696         2943
     134          680         2777
     135          697         2842
     136          682         2795
     137          687         2737
     138          674         2633
     139          684         2694
     140          699         2681
     141          690         2683
     142          692         2638
     143          707         2677
     144          701         2596
     145          699         2661
     146          696         2774
     147          687         2733
     148          690         2723
     149          710         2808
     150          718         2773
     151          698         2793
     152          679         2646
     153          686         2641
     154          705         2687
     155          682         2688
     156          709         2686
     157          714         2841
     158          699         2779
     159          685         2700
     160          720         2753
     161          686         2695
     162          707         2756
     163          676         2706
     164          692         2703
     165          688         2721
     166          707         2714
     167          698         2766
     168          698         2703
     169          707         2881
     170          693         2728
     171          690         2677
     172          686         2676
     173          702         2663
     174          701         2759
     175          687         2637
     176          702         2740
     177          680         2702
     178          689         2759
     179          669         2660
     180          674         2682
     181          692         2784
     182          699         2761
     183          707         2947
     184          702         2756
     185          707         2781
     186          697         2704
     187          705         2781
     188          704         2772
     189          703         2781
     190          696         2818
     191          695         2717
     192          696         2875
     193          698         2710
     194          707         2787
     195          701         2830
     196          708         2899
     197          703         2843
     198          705         2803
     199          708         2622
     200          700         2596
     201          686         2572
     202          690         2595
     203          706         2761
     204          692         2802
     205          711         2909
     206          709         2833
     207          711         2780
     208          693         2802
     209          680         2630
     210          700         2695
     211          686         2759
     212          699         2621
     213          695         2682
     214          677         2703
     215          703         2656
     216          701         2722
     217          706         2751
     218          687         2751
     219          691         2776
     220          708         2742
     221          685         2784
     222          692         2656
     223          700         2757
     224          709         2765
     225          714         2805
     226          692         2715
     227          704         2901
     228          704         2831
     229          706         2933
     230          708         2873
     231          702         2892
     232          688         2663
     233          704         2843
     234          694         2746
     235          691         2752
     236          707         2720
     237          697         2676
     238          700         2771
     239          700         2683
     240          697         2736
     241          706         2740
     242          694         2564
     243          686         2667
     244          681         2726
     245          696         2733
     246          688         2633
     247          694         2728
     248          700         2759
     249          681         2649
     250          692         2775
     251          701         2727
     252          674         2767
     253          706         2797
     254          693         2795
     255          706         2874
     256          696         2775
     257          696         2675
     258          711         2761
     259          686         2648
     260          685         2583
     261          700         2778
     262          708         2754
     263          714         2721
     264          684         2751
     265          694         2810
     266          699         2837
     267          691         2713
     268          675         2589
     269          703         2767
     270          707         2777
     271          697         2773
     272          673         2697
     273          692         2750
     274          694         2718
     275          710         2776
     276          706         2713
     277          717         2754
     278          677         2628
     279          696         2758
     280          696         2714
     281          693         2767
     282          701         2790
     283          701         2774
     284          697         2698
     285          700         2777
     286          700         2753
     287          717         2769
     288          701         2794
     289          697         2713
     290          688         2619
     291          717         2819
     292          704         2792
     293          695         2699
     294          699         2805
     295          711         2837
     296          684         2758
     297          701         2726
     298          661         2585
     299          689         2655
     300          696         2597
     301          724         2753
     302          691         2697
     303          695         2677
     304          717         2792
     305          711         2738
     306          702         2763
     307          709         2826
     308          704         2798
     309          709         2755
     310          679         2660
     311          716         2671
     312          695         2665
     313          698         2681
     314          697         2865
     315          694         2866
     316          705         2850
     317          701         2821
     318          703         2854
     319          689         2718
     320          699         2779
     321          696         2814
     322          707         2794
     323          699         2803
     324          717         2806
     325          719         2713
     326          726         2751
     327          692         2795
     328          723         2772
     329          703         2699
     330          697         2800
     331          705         2798
     332          705         2767
     333          707         2804
     334          710         2786
     335          706         2719
     336          715         2782
     337          717         2787
     338          724         2901
     339          718         2868
     340          720         2859
     341          705         2718
     342          694         2746
     343          713         2856
     344          696         2740
     345          717         2835
     346          707         2896
     347          716         2815
     348          716         2779
     349          722         2922
     350          716         2778
     351          716         2767
     352          721         2864
     353          726         2899
     354          721         2737
     355          704         2831
     356          710         2714
     357          722         2919
     358          710         2789
     359          721         2774
     360          720         2742
     361          724         2863
     362          711         2743
     363          711         2826
     364          735         2859
     365          718         2809
     366          708         2755
     367          724         2750
     368          718         2880
     369          713         2868
     370          704         2784
     371          718         2881
     372          710         2701
     373          702         2729
     374          701         2738
     375          677         2628
     376          689         2690
     377          702         2708
     378          701         2670
     379          706         2651
     380          682         2615
     381          710         2790
     382          697         2750
     383          707         2789
     384          697         2781
     385          669         2608
     386          689         2694
     387          699         2732
     388          683         2759
     389          697         2812
     390          704         2852
     391          698         2855
     392          686         2812
     393          701         2888
     394          693         2899
     395          700         2826
     396          699         2915
     397          699         2833
     398          690         2701
     399          691         2853
     400          690         2817
     401          688         2749
     402          681         2780
     403          698         2796
     404          694         2781
     405          678         2707
     406          693         2788
     407          690         2866
     408          681         2803
     409          684         2825
     410          694         2855
     411          713         2942
     412          699         2884
     413          705         2841
     414          707         2799
     415          708         2788
