     3.00000       7.37660    -437.65981       0.00000  
     3.00050       3.38574     -38.52394      -0.02964  
     3.00100       3.44188     -44.08777      -0.04609  
     3.00150       3.35017     -34.86668      -0.06183  
     3.00200       3.32016     -31.81583      -0.07649  
     3.00250       3.28255     -28.00469      -0.09164  
     3.00300       3.19886     -19.58628      -0.10773  
     3.00350       3.31267     -30.91676      -0.12241  
     3.00400       3.39972     -39.57233      -0.13675  
     3.00450       3.34258     -33.80833      -0.15206  
     3.00500       3.31841     -31.34134      -0.16722  
     3.00550       3.30487     -29.93709      -0.18251  
     3.00600       3.28686     -28.08557      -0.19792  
     3.00650       3.18137     -17.48700      -0.21125  
     3.00700       3.25911     -25.21063      -0.22518  
     3.00750       3.26104     -25.35438      -0.23934  
     3.00800       3.18440     -17.63978      -0.25426  
     3.00850       3.29003     -28.15286      -0.26875  
     3.00900       3.34775     -33.87536      -0.28353  
     3.00950       3.35320     -34.36979      -0.29933  
     3.01000       3.20423     -19.42288      -0.31259  
     3.01050       3.30126     -29.07645      -0.32715  
     3.01100       3.26585     -25.48493      -0.34187  
     3.01150       3.20238     -19.08779      -0.35640  
     3.01200       3.30482     -29.28249      -0.37061  
     3.01250       3.27752     -26.50224      -0.38488  
     3.01300       3.31402     -30.10204      -0.39858  
     3.01350       3.36930     -35.58023      -0.41153  
     3.01400       3.28458     -27.05756      -0.42555  
     3.01450       3.33819     -32.36943      -0.43939  
     3.01500       3.21035     -19.53464      -0.45367  
     3.01550       3.26749     -25.19921      -0.46725  
     3.01600       3.20449     -18.84934      -0.48001  
     3.01650       3.30798     -29.14814      -0.49507  
     3.01700       3.28023     -26.32274      -0.50892  
     3.01750       3.30235     -28.48488      -0.52284  
     3.01800       3.37402     -35.60218      -0.53686  
     3.01850       3.25071     -23.22069      -0.55048  
     3.01900       3.27405     -25.50493      -0.56455  
     3.01950       3.25956     -24.00632      -0.57776  
     3.02000       3.22193     -20.19309      -0.59023  
     3.02050       3.29826     -27.77629      -0.60310  
     3.02100       3.32120     -30.02028      -0.61697  
     3.02150       3.25032     -22.88190      -0.63093  
     3.02200       3.27595     -25.39538      -0.64531  
     3.02250       3.29440     -27.19046      -0.65966  
     3.02300       3.27239     -24.93892      -0.67276  
     3.02350       3.31668     -29.31815      -0.68629  
     3.02400       3.38806     -36.40609      -0.70004  
     3.02450       3.21442     -18.99220      -0.71357  
     3.02500       3.34438     -31.93838      -0.72757  
     3.02550       3.39245     -36.69524      -0.74190  
     3.02600       3.30419     -27.81912      -0.75678  
     3.02650       3.27154     -24.50398      -0.77093  
     3.02700       3.31260     -28.56013      -0.78499  
     3.02750       3.33894     -31.14374      -0.79846  
     3.02800       3.28009     -25.20944      -0.81242  
     3.02850       3.29987     -27.13707      -0.82525  
     3.02900       3.24231     -21.33083      -0.83919  
     3.02950       3.25140     -22.18976      -0.85224  
     3.03000       3.25365     -22.36479      -0.86594  
     3.03050       3.22974     -19.92424      -0.87852  
     3.03100       3.29555     -26.45512      -0.89116  
     3.03150       3.29463     -26.31269      -0.90438  
     3.03200       3.21454     -18.25373      -0.91726  
     3.03250       3.27382     -24.13182      -0.93030  
     3.03300       3.41396     -38.09605      -0.94368  
     3.03350       3.24741     -21.39123      -0.95713  
     3.03400       3.32488     -29.08846      -0.97026  
     3.03450       3.22684     -19.23381      -0.98331  
     3.03500       3.29206     -25.70631      -0.99644  
     3.03550       3.25895     -22.34495      -1.00979  
     3.03600       3.19461     -15.86109      -1.02234  
     3.03650       3.28415     -24.76506      -1.03608  
     3.03700       3.32216     -28.51648      -1.04953  
     3.03750       3.24694     -20.94379      -1.06271  
     3.03800       3.27642     -23.84176      -1.07681  
     3.03850       3.30939     -27.08916      -1.09095  
     3.03900       3.23816     -19.91614      -1.10466  
     3.03950       3.36825     -32.87474      -1.11875  
     3.04000       3.33206     -29.20563      -1.13272  
     3.04050       3.35720     -31.66965      -1.14551  
     3.04100       3.26955     -22.85482      -1.15901  
     3.04150       3.33307     -29.15718      -1.17207  
     3.04200       3.34239     -30.03861      -1.18576  
     3.04250       3.33864     -29.61374      -1.19881  
     3.04300       3.32201     -27.90148      -1.21234  
     3.04350       3.20532     -16.18156      -1.22486  
     3.04400       3.29736     -25.33595      -1.23755  
     3.04450       3.29625     -25.17487      -1.24981  
     3.04500       3.39733     -35.23314      -1.26260  
     3.04550       3.25912     -21.36158      -1.27562  
     3.04600       3.29535     -24.93502      -1.28845  
     3.04650       3.20538     -15.88763      -1.30011  
     3.04700       3.33533     -28.83299      -1.31218  
     3.04750       3.30418     -25.66838      -1.32424  
     3.04800       3.30855     -26.05538      -1.33785  
     3.04850       3.32672     -27.82213      -1.35099  
     3.04900       3.33982     -29.08205      -1.36362  
     3.04950       3.27972     -23.02190      -1.37603  
     3.05000       3.30084     -25.08448      -1.38825  
     3.05050       3.28121     -23.07118      -1.40085  
     3.05100       3.18495     -13.39481      -1.41230  
     3.05150       3.29494     -24.34392      -1.42435  
     3.05200       3.34619     -29.41936      -1.43722  
     3.05250       3.36836     -31.58571      -1.45064  
     3.05300       3.44124     -38.82383      -1.46350  
     3.05350       3.20831     -15.48133      -1.47643  
     3.05400       3.33596     -28.19558      -1.48836  
     3.05450       3.31645     -26.19514      -1.50161  
     3.05500       3.38117     -32.61735      -1.51473  
     3.05550       3.25847     -20.29689      -1.52717  
     3.05600       3.39686     -34.08559      -1.54025  
     3.05650       3.32989     -27.33869      -1.55267  
     3.05700       3.38711     -33.01092      -1.56530  
     3.05750       3.26946     -21.19585      -1.57832  
     3.05800       3.28924     -23.12383      -1.59172  
     3.05850       3.29245     -23.39540      -1.60461  
     3.05900       3.37051     -31.15053      -1.61741  
     3.05950       3.37858     -31.90841      -1.63143  
     3.06000       3.34805     -28.80470      -1.64436  
     3.06050       3.31963     -25.91318      -1.65780  
     3.06100       3.29364     -23.26354      -1.67088  
     3.06150       3.23756     -17.60613      -1.68169  
     3.06200       3.14999      -8.79871      -1.69273  
     3.06250       3.28297     -22.04685      -1.70356  
     3.06300       3.27680     -21.38014      -1.71431  
     3.06350       3.26152     -19.80195      -1.72475  
     3.06400       3.32619     -26.21889      -1.73591  
     3.06450       3.23408     -16.95826      -1.74689  
     3.06500       3.26924     -20.42374      -1.75853  
     3.06550       3.29541     -22.99117      -1.76995  
     3.06600       3.28750     -22.14974      -1.78097  
     3.06650       3.29387     -22.73689      -1.79219  
     3.06700       3.32040     -25.34027      -1.80425  
     3.06750       3.31265     -24.51518      -1.81626  
     3.06800       3.33366     -26.56590      -1.82776  
     3.06850       3.21173     -14.32335      -1.83980  
     3.06900       3.30584     -23.68409      -1.85198  
     3.06950       3.42404     -35.45440      -1.86390  
     3.07000       3.25899     -18.89912      -1.87499  
     3.07050       3.17884     -10.83437      -1.88706  
     3.07100       3.33867     -26.76715      -1.89968  
     3.07150       3.26551     -19.40136      -1.91066  
     3.07200       3.25495     -18.29549      -1.92184  
     3.07250       3.37326     -30.07558      -1.93336  
     3.07300       3.28468     -21.16780      -1.94473  
     3.07350       3.28311     -20.96145      -1.95542  
     3.07400       3.26295     -18.89520      -1.96749  
     3.07450       3.28542     -21.09249      -1.97952  
     3.07500       3.33569     -26.06860      -1.99217  
     3.07550       3.27793     -20.24289      -2.00439  
     3.07600       3.31352     -23.75203      -2.01681  
     3.07650       3.34611     -26.96137      -2.02899  
     3.07700       3.47718     -40.01761      -2.04268  
     3.07750       3.27211     -19.46069      -2.05603  
     3.07800       3.32793     -24.99339      -2.06876  
     3.07850       3.25313     -17.46343      -2.08070  
     3.07900       3.30101     -22.20068      -2.09307  
     3.07950       3.25019     -17.06888      -2.10441  
     3.08000       3.21161     -13.16098      -2.11600  
     3.08050       3.31325     -23.27526      -2.12791  
     3.08100       3.47451     -39.35080      -2.14011  
     3.08150       3.38463     -30.31259      -2.15249  
     3.08200       3.26205     -18.00486      -2.16411  
     3.08250       3.31317     -23.06686      -2.17667  
     3.08300       3.31988     -23.68807      -2.18976  
     3.08350       3.29289     -20.93891      -2.20209  
     3.08400       3.30996     -22.59626      -2.21469  
     3.08450       3.21495     -13.04488      -2.22730  
     3.08500       3.38522     -30.02206      -2.24016  
     3.08550       3.36770     -28.22049      -2.25315  
     3.08600       3.30526     -21.92632      -2.26595  
     3.08650       3.25693     -17.04335      -2.27815  
     3.08700       3.29394     -20.69383      -2.29021  
     3.08750       3.30633     -21.88342      -2.30194  
     3.08800       3.28055     -19.25502      -2.31319  
     3.08850       3.37724     -28.87392      -2.32552  
     3.08900       3.24458     -15.55793      -2.33795  
     3.08950       3.36306     -27.35645      -2.34998  
     3.09000       3.41191     -32.19132      -2.36206  
     3.09050       3.30418     -21.36822      -2.37362  
     3.09100       3.34954     -25.85406      -2.38506  
     3.09150       3.35593     -26.44253      -2.39606  
     3.09200       3.37430     -28.22967      -2.40803  
     3.09250       3.29799     -20.54866      -2.42104  
     3.09300       3.39243     -29.94339      -2.43283  
     3.09350       3.28519     -19.16869      -2.44478  
     3.09400       3.35242     -25.84194      -2.45575  
     3.09450       3.36319     -26.86920      -2.46668  
     3.09500       3.27707     -18.20714      -2.47850  
     3.09550       3.31934     -22.38376      -2.48984  
     3.09600       3.49363     -39.76273      -2.50121  
     3.09650       3.37835     -28.18507      -2.51225  
     3.09700       3.35432     -25.73164      -2.52356  
     3.09750       3.37879     -28.12926      -2.53651  
     3.09800       3.26631     -16.83068      -2.54805  
     3.09850       3.26293     -16.44259      -2.55971  
     3.09900       3.28777     -18.87721      -2.56996  
     3.09950       3.31949     -21.99885      -2.58118  
     3.10000       3.35336     -25.33623      -2.59234  
     3.10050       3.37131     -27.08054      -2.60361  
     3.10100       3.36812     -26.71209      -2.61459  
     3.10150       3.35749     -25.59895      -2.62524  
     3.10200       3.32120     -21.91984      -2.63653  
     3.10250       3.35340     -25.09007      -2.64789  
     3.10300       3.36156     -25.85616      -2.65987  
     3.10350       3.38386     -28.03579      -2.67286  
     3.10400       3.37468     -27.06849      -2.68494  
     3.10450       3.33193     -22.74304      -2.69652  
     3.10500       3.41342     -30.84171      -2.70834  
     3.10550       3.40134     -29.58416      -2.72038  
     3.10600       3.27683     -17.08273      -2.73224  
     3.10650       3.27544     -16.89352      -2.74360  
     3.10700       3.32753     -22.05304      -2.75507  
     3.10750       3.31566     -20.81605      -2.76671  
     3.10800       3.37453     -26.65269      -2.77792  
     3.10850       3.27931     -17.08090      -2.78804  
     3.10900       3.27838     -16.93802      -2.79860  
     3.10950       3.29041     -18.09114      -2.80891  
     3.11000       3.27067     -16.06716      -2.81951  
     3.11050       3.31144     -20.09356      -2.83045  
     3.11100       3.32189     -21.08883      -2.84163  
     3.11150       3.34279     -23.12919      -2.85347  
     3.11200       3.19395      -8.19476      -2.86459  
     3.11250       3.35596     -24.34553      -2.87516  
     3.11300       3.33528     -22.22821      -2.88664  
     3.11350       3.31354     -20.00361      -2.89803  
     3.11400       3.34155     -22.75469      -2.90909  
     3.11450       3.34996     -23.54632      -2.92073  
     3.11500       3.34659     -23.15853      -2.93135  
     3.11550       3.34844     -23.29435      -2.94239  
     3.11600       3.34553     -22.95255      -2.95283  
     3.11650       3.33268     -21.61845      -2.96413  
     3.11700       3.28178     -16.47776      -2.97405  
     3.11750       3.21905     -10.15511      -2.98421  
     3.11800       3.21121      -9.32083      -2.99453  
     3.11850       3.40409     -28.55863      -3.00615  
     3.11900       3.38535     -26.63480      -3.01726  
     3.11950       3.29144     -17.19357      -3.02743  
     3.12000       3.29813     -17.81282      -3.03839  
     3.12050       3.34974     -22.92377      -3.04814  
     3.12100       3.30203     -18.10255      -3.05793  
     3.12150       3.30851     -18.70120      -3.06909  
     3.12200       3.31268     -19.06828      -3.07890  
     3.12250       3.35785     -23.53497      -3.08910  
     3.12300       3.28979     -16.67899      -3.09906  
     3.12350       3.30836     -18.48643      -3.10937  
     3.12400       3.28375     -15.97536      -3.12016  
     3.12450       3.33630     -21.17957      -3.13010  
     3.12500       3.23258     -10.75754      -3.14041  
     3.12550       3.29582     -17.03216      -3.15080  
     3.12600       3.27440     -14.83994      -3.15991  
     3.12650       3.25561     -12.91085      -3.16883  
     3.12700       3.32972     -20.27206      -3.17784  
     3.12750       3.26479     -13.72904      -3.18670  
     3.12800       3.41167     -28.36654      -3.19614  
     3.12850       3.29222     -16.37213      -3.20535  
     3.12900       3.37234     -24.33411      -3.21553  
     3.12950       3.28565     -15.61534      -3.22574  
     3.13000       3.43369     -30.36850      -3.23537  
     3.13050       3.33370     -20.31978      -3.24590  
     3.13100       3.40215     -27.11462      -3.25613  
     3.13150       3.39343     -26.19347      -3.26654  
     3.13200       3.36137     -22.93717      -3.27697  
     3.13250       3.35975     -22.72507      -3.28742  
     3.13300       3.32860     -19.55994      -3.29755  
