       0    15.533 
       0    15.533 
     500    15.271 
    1000    15.361 
    1500    15.562 
    2000    15.278 
    2500    15.237 
    3000    15.581 
    3500    15.631 
    4000    15.352 
    4500    15.423 
    5000    15.324 
    5500    15.394 
    6000    15.201 
    6500    15.400 
    7000    15.218 
    7500    15.525 
    8000    15.384 
    8500    15.404 
    9000    15.786 
    9500    15.772 
   10000    15.485 
   10500    15.901 
   11000    15.378 
   11500    15.627 
   12000    15.483 
   12500    15.627 
   13000    15.346 
   13500    15.504 
   14000    15.617 
   14500    15.313 
   15000    15.482 
   15500    15.511 
   16000    15.879 
   16500    15.693 
   17000    15.456 
   17500    15.722 
   18000    15.762 
   18500    15.840 
   19000    15.737 
   19500    15.363 
   20000    15.344 
   20500    15.428 
   21000    15.348 
   21500    15.586 
   22000    15.664 
   22500    15.509 
   23000    15.508 
   23500    15.865 
   24000    15.647 
   24500    15.461 
   25000    15.568 
   25500    15.686 
   26000    15.506 
   26500    15.562 
   27000    15.507 
   27500    15.675 
   28000    15.436 
   28500    15.747 
   29000    15.741 
   29500    15.595 
   30000    15.865 
   30500    15.405 
   31000    15.533 
   31500    15.416 
   32000    15.134 
   32500    15.289 
   33000    15.267 
   33500    15.742 
   34000    15.876 
   34500    15.459 
   35000    15.239 
   35500    15.484 
   36000    15.758 
   36500    15.620 
   37000    15.650 
   37500    15.675 
   38000    15.228 
   38500    15.411 
   39000    15.387 
   39500    15.247 
   40000    15.357 
   40500    15.423 
   41000    15.589 
   41500    15.392 
   42000    15.448 
   42500    15.429 
   43000    15.456 
   43500    15.186 
   44000    15.343 
   44500    15.602 
   45000    14.951 
   45500    15.634 
   46000    15.340 
   46500    15.360 
   47000    15.294 
   47500    15.463 
   48000    15.707 
   48500    15.538 
   49000    15.364 
   49500    15.788 
   50000    15.564 
   50500    15.338 
   51000    15.420 
   51500    15.319 
   52000    15.218 
   52500    15.497 
   53000    15.508 
   53500    15.230 
   54000    15.326 
   54500    15.423 
   55000    15.694 
   55500    15.599 
   56000    15.420 
   56500    15.264 
   57000    15.431 
   57500    15.274 
   58000    15.115 
   58500    15.496 
   59000    15.444 
   59500    15.834 
   60000    15.653 
   60500    15.414 
   61000    15.557 
   61500    15.473 
   62000    15.260 
   62500    15.467 
   63000    15.619 
   63500    15.469 
   64000    15.354 
   64500    15.439 
   65000    15.358 
   65500    15.430 
   66000    15.563 
   66500    15.409 
   67000    15.536 
   67500    15.403 
   68000    15.683 
   68500    15.258 
   69000    15.635 
   69500    15.620 
   70000    15.314 
   70500    15.271 
   71000    15.621 
   71500    15.498 
   72000    15.768 
   72500    15.278 
   73000    15.591 
   73500    15.761 
   74000    15.284 
   74500    15.095 
   75000    15.311 
   75500    15.573 
   76000    15.604 
   76500    15.481 
   77000    15.586 
   77500    15.615 
   78000    15.548 
   78500    15.478 
   79000    15.463 
   79500    15.510 
   80000    15.594 
   80500    15.599 
   81000    15.311 
   81500    15.309 
   82000    15.431 
   82500    15.328 
   83000    15.410 
   83500    15.402 
   84000    15.541 
   84500    15.529 
   85000    15.518 
   85500    15.712 
   86000    15.602 
   86500    15.436 
   87000    15.856 
   87500    15.622 
   88000    15.434 
   88500    15.661 
   89000    15.582 
   89500    15.785 
   90000    15.449 
   90500    15.326 
   91000    15.481 
   91500    15.403 
   92000    15.417 
   92500    15.404 
   93000    15.552 
   93500    15.606 
   94000    15.414 
   94500    15.078 
   95000    15.606 
   95500    15.505 
   96000    15.469 
   96500    15.762 
   97000    15.784 
   97500    15.876 
   98000    15.651 
   98500    15.911 
   99000    15.568 
   99500    15.582 
  100000    15.886 
  100500    15.833 
  101000    15.533 
  101500    15.704 
  102000    15.073 
  102500    15.522 
  103000    15.767 
  103500    15.834 
  104000    15.636 
  104500    15.356 
  105000    15.573 
  105500    15.431 
  106000    15.436 
  106500    15.630 
  107000    15.377 
  107500    15.519 
  108000    15.744 
  108500    15.733 
  109000    15.517 
  109500    15.532 
  110000    15.537 
  110500    15.724 
  111000    15.630 
  111500    15.688 
  112000    15.496 
  112500    15.693 
  113000    15.560 
  113500    15.255 
  114000    15.264 
  114500    15.444 
  115000    15.652 
  115500    15.543 
  116000    15.258 
  116500    15.169 
  117000    15.099 
  117500    15.268 
  118000    15.181 
  118500    15.442 
  119000    15.395 
  119500    15.440 
  120000    15.437 
  120500    15.607 
  121000    15.386 
  121500    15.291 
  122000    15.513 
  122500    15.389 
  123000    15.208 
  123500    15.221 
  124000    15.338 
  124500    15.568 
  125000    15.444 
  125500    15.017 
